Question,Answer
For what does Beyonce receive praise?,stage presence
Who chose her as number one on his list of Best singers/ Dancers?,Jarett Wieselman
How has L.A. Reid described her?,greatest entertainer alive
How does Alice Jones describe her?,she's almost too good
Who has Beyoncé at number one on her Five Best Singer/Dancers?,Jarett Wieselman
Who has said that Beyoncé is the best entertainer alive?,L.A. Reid
Beyonce self proclaimed alter ego is named what?,Sasha Fierce
Her alter ego was born when according to Beyonce?,"making of ""Crazy in Love"""
What year did Beyonce do away with Sasha Fierce?,2010
Beyonce brought back Sasha Fierce during which event?,Revel Presents: Beyoncé Live
How does she describe Sasha?,"too aggressive, too strong"
Later what did she say about Sasha?,she would bring her back
What is the name of Beyoncé's alter ego?,Sasha Fierce.
When did Beyoncé introduce Sasha Fierce?,2008
Sasha Fierce was created during the making of what song?,Crazy in Love
Who did Beyoncé tell in February 2010 that Sasha Fierce was no longer needed?,Allure magazine
Beyonce's sex appeal is characterized as what?,wide-ranging
"Which music journalist described Beyonce as a ""crossover sex symbol?""",Touré
Which word spawned from a term used to describe Beyonce in 2006?,Bootylicious
Bootylicious was a song from which act that Beyonce performed with?,Destiny's Child
Oxford Dictionary added which word from the 2000s dedicated to Beyonce?,Bootylicious
What word is often used to describe Beyonce/,Bootylicious
When was the term added to the dictionary?,2006
"What journalist wrote that Beyoncé was a ""sex symbol""?",Touré
"Because of Beyoncé's physical shape, what slang term has been used to describe her?",Bootylicious
In what year was the slang term from a title of a Destiny's Child song that is also used to describe Beyoncé put in the dictionary?,2006
How does Beyoncé say she likes to dress off-stage?,sexily
"in September 2010, what career area did Beyonce start exploring?",modelling
Beyonce's first modelling event was at where?,Tom Ford's Spring/Summer 2011 fashion show
"""World's Most Beautiful woman"" was declared to Beyonce by which national magazine?",People
Which month and year did GQ feature Beyonce on its cover?,Jan-13
What TV network listed Beyonce as number 1 on its 100 Sexiest Artists list?,VH1
Who called Beyonce the World's most Beautiful Woman?,People
Who called her Hottest Female Singer of all Time?,Complex
When did she appear on the cover of GQ?,2013
VH1 listed her at what number on their 100 Sexiest Artists list?,number 1
What year did Beyoncé first model for Tom Ford?,2010
"What magazine said Beyoncé was the ""World's Most Beautiful Woman""?",People
What title did Complex award Beyoncé?,Hottest Female Singer of All Time
What museum has made several models of Beyoncé in wax?,Madame Tussauds Wax Museums
Which parent of Beyonce's help co-write a book?,Her mother
Which African-American woman before Beyonce had posed for SI Swimsuit issue?,Tyra Banks
What was the title of Beyonce's mother's book?,Destiny's Style
When was she on the Sports Illustrated cover?,2007
Who was she the second  African American on the cover after?,Tyra Banks
"Beyoncé was the second African American woman featured as a swimsuit cover on the magazine, who was first?",Tyra Banks
"What magazine said Beyoncé was the ""best-dressed celebrity""?",People
Beyonce has a fan base that is referred to as what?,The Bey Hive
"Before the Bey Hive, fans of Beyonce were called what?",The Beyontourage
Which social media company proclaimed Beyonce fans are know as the Bey Hive?,Twitter
What is Beyonce's fan base called?,Bey Hive
What did the fans used to be called?,Beyontourage
What is the latest term used to describe Beyoncé fans?,Bey Hive
What was the former word given to Beyoncé fans?,Beyontourage
"What word does ""Bey Hive"" derive from?",beehive
Beyonce has a clothing line known as what?,House of Deréon
Which French magazine did Beyonce show up on the cover of?,L'Officiel
Beyonce was seen wearing what on the french magazine that caused controversy?,blackface and tribal makeup
Which year did PETA spark controversy with Beyonce?,2006
What did PETA criticize Beyonce for in 2006?,for wearing and using fur
What French Magazine cover did the media criticize?,L'Officiel
How was she dressed on the cover of L'Officiel?,in blackface and tribal makeup
What French magazine did Beyoncé appear in wearing blackface and tribal makeup?,L'Officiel
What clothing line of Beyoncé drew PETA criticism?,House of Deréon.
What type of magazine is L'Officiel?,French fashion magazine
Which racial community gave criticism to Beyonce?,African-American
Which professor from Northeastern University wrote about how race correlates with these criticisms of Beyonce?,Emmett Price
Which company was accused of coloring Beyonce's hair?,L'Oréal
What did Vogue request?,natural pictures be used
How did L'Oreal respond to accusations of changing pictures?,it is categorically untrue
"In addition to her light skin color, what else has made part of the African American community criticize Beyoncé?",costuming
"In 2007, which music professor said he believes this criticism does involve race as well?",Emmett Price
Who was accused of lightening Beyoncé's skin for an advertisement?,L'Oréal
What advertisement was Beyoncé's skin supposedly lightened in?,Feria hair color advertisements
Who did Beyoncé tell in 2013 to only use natural pictures of her rather than retouched images?,H&M
Artist of the Decade was bestowed upon Beyonce from which magazine?,The Guardian
Whats the first year that Beyonce appear on the Time 100 list?,2013
Beyonce than appeared again on the Time 100 list in what year?,2014
What did the Guardian name her?,Artist of the Decade
When did Beyonce first make the Time 100 List?,2013
When was she again on the Time 100 List and on the cover?,2014
Who said that she is the reigning national voice?,Baz Luhrmann
Who stated that Beyoncé is the most important musician of the 21st century?,Jody Rosen
Which publication named Beyoncé the Artist of the Decade?,The Guardian
What list did Beyoncé make in 2013?,Time 100 list
Who said Beyoncé is the heir-apparent diva of the United States?,Baz Luhrmann
What year was Beyoncé featured both on the Time 100 list as well as the cover of the issue?,2014
Which rock band cited Beyonce on their third album?,White Rabbits
"Which friend learned from Beyonce while preparing for the film, ""Country Strong?""",Gwyneth Paltrow
Nicky Minaj became a spokesperson for which brand of soda after seeing Beyonce involved with it?,Pepsi
What influenced Nicki Minaj to join the Pepsi global campaign?,Beyoncé's Pepsi commercial
Which band listed Beyonce as an inspiration on their latest album?,White Rabbits
What about Beyonce has influenced many entertainers?,work
For what film was Paltrow studying Beyonce ?,Country Strong
Which Indie band said Beyoncé was an inspiration for one of hteir albums?,White Rabbits
What was the name of the White Rabbits' album?,Milk Famous
Who studied Beyoncé during live concerts for research for a film's music role?,Gwyneth Paltrow
What was the name of the film that Gwyneth Paltrow starred in as a musician?,Country Strong.
Beyoncé's Pepsi commercial inspired which star to join Pepsi's global campaign in 2012?,Nicki Minaj
"VH1 declared what song the ""Greatest song of the 2000s?""",Crazy in Love
"How many Grammy awards did ""Crazy in Love"" win?",two
How many did Crazy in Love sell to become one of the greatest selling singles in history?,8 million
What type of organism was named after Beyonce in 2012?,fly
A place for Beyonce in the Rock and Roll Hall of fame was awarded when?,Jul-14
Which of Beyonce's songs was called Greatest Song of the 2000s?,Crazy in Love
How many Grammy awards did Crazy in Love get?,earned two Grammy Awards
How many copies did Crazy in Love sell?,around 8 million copies
Who released the single Girls Love Beyonce?,Drake
Which publication considers Crazy in Love to be one of the top 500 songs of all time?,Rolling Stone
"Who sang ""Girls Love Beyoncé"" in 2013?",Drake
What did Bryan Lessard name after Beyoncé?,a species of horse fly
How many copies of her albums as Beyonce sold in the US?,15 million
"Totaling worldwide, how many records as Beyonce sold?",118 million
How many certifications was Beyonce awarded by the RIAA?,64
"When Beyonce was with Destiny's Child, how many albums did she manage to sell?",60 million
Who was the first female to achieve the International Artist Award at the American Music Awards?,Beyoncé
How many albums has Beyonce as a solo artist sold in the U.S?,15 million
How many has she sold worldwide?,118 million
How many records has she sold with Destiny's Child?,60 million
When did she receive the Legend Award?,2008 World Music Awards
How many music certifications has she received in the 2000s?,64 certifications
How many records has Beyoncé sold in the United States?,over 15 million
How many records has Beyoncé sold throughout the world?,over 118 million
Who cited Beyoncé as being the top certified artist of the 2000s?,The Recording Industry Association of America
How many certifications did RIAA give Beyoncé?,64
When did Beyoncé receive the Legend Award?,the 2008 World Music Awards
How many Grammys has Beyonce won total with and without Destiny's Child?,20
Who is the only other woman with more Grammy awards than Beyonce?,Alison Krauss
Beyonce has been awarded how many Grammy nominations?,52
Beyonce holds the record for how many wins in one night by a female?,six
How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?,two
How many Grammies has Beyonce won?,20 Grammy Awards
How many Grammy nominations does Beyonce have?,52 nominations
When did she set the record for most Grammy awards won in one night?,2010
Who tied her record for most Grammies won in one night in 2012?,Adele
How many Grammys has Beyoncé won?,20
How many Grammy nominations has Beyoncé had?,52
What Beyoncé song was song of the year on 2010?,"""Single Ladies (Put a Ring on It)"""
What movie had Beyoncé nominated as Best Actress for Golden Globe Awards?,Dreamgirls
Which soda company has Beyonce partnered with since 2002?,Pepsi
Pepsi paid Beyonce how much in 2012 for her endorsement?,50 million
Which organization wrote a letter to Beyonce after her Pepsi endorsement deal?,The Center for Science in the Public Interest (CSPINET)
What percentage of people were positive about Beyonce's endorsement of Pepsi?,70
When did Beyonce begin doing Pepsi advetisments?,2002
Who was in the commercial with Beyonce in 2004?,"Britney Spears, Pink, and Enrique Iglesias"
What did she agree to do for 50 million dollars in 2012?,endorse Pepsi
Who sent her a letter asking that she reconsider the Pepsi deal?,Center for Science in the Public Interest
What soft drink company has Beyoncé worked with since 2002?,Pepsi
How much did Beyoncé get for a deal with a soft drink company in 2012?,$50 million
Who asked her to change her mind about the soft drink deal due to the nature of the product?,The Center for Science in the Public Interest (CSPINET)
What organization discovered that the advertisements Beyoncé did for the soft drink company were 70% positive?,NetBase
"Beyonce worked with who on her perfumes, True Star and True Star Gold?",Tommy Hilfiger
The world's best selling celebrity perfume line belongs to whom?,Beyoncé
Beyonce's first fragrance had what name?,Heat
The Mrs. Carter Show Limited Edition was released in what year?,2013
How much money did The Mrs. Carter Show Limited Edition fragrance make?,400 million
What was Beyonce's 2010  perfume called?,Heat
"When was her second perfume, Heat Rush, released?",2011
What was Beyonce's third perfume named?,Pulse
How many editions of Heat have been launched?,six editions
Which Emporio Armani fragrance did Beyoncé promote in 2007?,Diamonds
What year did Beyoncé introduce her first fragrance?,2010
What was Beyoncé's first fragrance called?,Heat
How many editions of Heat exist?,six
How young was Beyonce when she acquired deals from American Express and L'Oreal?,18
What was the name of the video game that was cancelled for Beyonce?,Starpower: Beyoncé
When did Beyonce begin her deals with name brands?,since the age of 18
How many people lost jobs when Beyonce left the video game deal?,70 staff
How was the suit settled?,out of court
What was the name of the video game?,Starpower: Beyoncé
What video game did Beyoncé back out of?,Starpower: Beyoncé
What company was producing the video game?,GateFive
How many people lost their jobs over Beyoncé backing out of the deal?,70
When was the disagreement settled out of court?,Jun-13
Who did Bayonce's management go into business with in 2014?,fashion retailer Topshop
"After their agreement together, Beyonce's and Topshop"" new business was called what?",Parkwood Topshop Athletic Ltd
What type of clothing does Parkwood Topshop Athletic Ltd produce?,activewear
The company and products were set to be in stores when?,fall of 2015
Who did Beyonce partner with in London?,Topshop
When will the new line launch?,2015
What is the name of Beyoncé's management company?,Parkwood Entertainment
Who did Beyoncé and Parkwood Entertainment partner with in October 2014?,Topshop
Where is Topshop located?,London
What was the new division of Topshop because of the partnership?,activewear
"When was it discovered Beyonce was a co-owner of the music service, Tidal?","March 30, 2015"
The parent company of Tidal became under the ownership of whom in 2015?,Jay Z
When was it announced that Beyonce was  a co-owner in Tidal?,"March 30, 2015"
What kind of service is Tidal?,music streaming service
What is a criticism of other streaming services?,low payout of royalties
What music streaming system is Beyoncé part owner of?,Tidal.
What is the parent company of the music service Beyoncé owns part of?,Aspiro
Who acquired the parent company of the music service Beyoncé owns part of?,Jay Z
What music service is accused of providing low royalty amounts?,Spotify
House of Dereon became known through Beyonce and which of Beyonce's relatives?,her mother
Beyonce's grandma's name was?,Agnèz Deréon
Beyonce's family's company name is what?,Beyond Productions
What types of garments are sold by Beyonce's clothing line?,"sportswear, denim offerings with fur, outerwear and accessories that include handbags and footwear"
Which two countries can you purchase Beyonce's clothing line?,US and Canada
"Who partnered with Beyonce to start the clothing line, Dereon?",her mother
When did Beyonce and her mother start Dereon?,2005
Who was the business named for in Beyonce's family?,"grandmother, Agnèz Deréon"
Where were items from the clothing line displayed?,in Destiny's Child's shows and tours
Who shares in the House of Deréon fashion line introduction with Beyoncé?,her mother
What is the name of the House of Deréon junior collection?,Deréon.
What type of accessory company did Beyonce partner with in 2005?,shoe
"In 2010, Beyonce released Dereon to what country?",Brazil
Back-to-school shopping was introduced in what year of Beyonce's clothing line?,2009
What did Beyonce's Fashion Diva  feature?,House of Deréon collection
What new idea did Beyonce and her mother launch in 2009?,Sasha Fierce for Deréon
When did Beyonce partner with C&A to sell fashion in Brazil?,"May 27, 2010"
What company did Beyoncé get together with in 2005 to add shoes to her fashions?,House of Brands
What was the name of the game put out by Starwave Mobile in 2008 that featured Beyoncé fashions?,Beyoncé Fashion Diva
What was the name of the junior fashions launched in 2009 by Beyoncé and her mother?,Sasha Fierce for Deréon
Who did Beyoncé team up with in 2010 to get her fashions into Brazil?,C&A
Sasha Fierce for Deréon fashions were sold at stores that included Macy's and what other store?,Dillard's
"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?",Topshop
Beyonce and Topshops first products were to be sold in stores when?,autumn 2015
What is the new business called?,Parkwood Topshop Athletic Ltd
What is Beyonce's percentage of ownership in the new venture?,50
When will the full line appear?,Apr-16
What company did Beyoncé contract with to sell clothing in England?,Topshop
What is the name of the equal partnership's fashion line between Beyoncé and the British company to come out in 2016?,Parkwood Topshop Athletic Ltd
What type of clothing does the British partnership with Beyoncé sell?,activewear
What national disaster caused Beyonce to create the Survivor Foundation?,Hurricane Katrina
"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?","250,000"
What hurricane years later after Katrina did the organization provide support for?,Ike
What did Beyonce and Rowland found in 2005?,the Survivor Foundation
How much did Beyonce initially contribute to the foundation?,"$250,000"
How has this foundation changed in recent years?,expanded to work with other charities
What foundation did Beyoncé start after Hurricane Katrina?,Survivor Foundation
How much money did Beyoncé contribute at the beginning of her Hurricane Katrina foundation?,"$250,000."
What other hurricane did Beyoncé's foundation help with?,Hurricane Ike
Who did Beyonce participate with in the Hope for Haiti Now: A Global Benefit?,George Clooney and Wyclef Jean
Beyonce opened a cosmetology center in what location?,Brooklyn Phoenix House
"After Osama Bin Laden's death, what single did Beyonce cover?",God Bless the USA
How much did the T-shirt with Beyonce's image on it make? ,$1 million
"What enterprise did Beyonce and her mother start on March 5, 2010?",Beyoncé Cosmetology Center at the Brooklyn Phoenix House
"What charity benefited from  the release of the song, God Bless the USA?",New York Police and Fire Widows' and Children's Benefit Fund
What did she participate in with George Clooney?,Hope for Haiti Now: A Global Benefit
Which two stars did Beyoncé help with their Haiti Earthquake organization?,George Clooney and Wyclef Jean
What did Beyoncé open at the Brooklyn Phoenix House in 2010?,Beyoncé Cosmetology Center
What Lee Greenwood song did Beyoncé cover after Osama bin Laden was killed?,God Bless the USA
"Which national event caused Beyonce to produce ""Demand a Plan?""",Sandy Hook Elementary School shooting
What song did Beyonce contribute to the campaign?,I Was Here
Beyonce is contributing to which food-donation campaign?,Miss a Meal
"On June 1 , 2013 where was the concert held for ""a Chime for Change""?",London
"Beyonce was speaking about whom when she said her gift was ""finding the best qualities in every human being.""?",her mother
The Demand a Plan video campaign followed what tragic event?,Sandy Hook Elementary School shooting.
What was the focus of the Gucci Chime for Change campaign?,spread female empowerment
What crowdfunding platform was used in the concert?,Catapult
What is the name of the campaign that Beyoncé and others are involved in that deals with gun control?,Demand A Plan
What school shooting prompted the creation of Demand A Plan?,Sandy Hook Elementary School
What song did Beyoncé donate to the 2012 World Humanitarian Day campaign?,I Was Here
Who did Beyoncé work with in 2013 on the Chime for Change campaign?,Salma Hayek and Frida Giannini
